Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
;;;Gewehr;Klaus Erwin;1958;SPD;;Rheinland-Pfalz;27
;;;Giebeler;Paul Felix;1981;BüSo;133;Nordrhein-Westfalen;8
;;;Gielnik;Michael;1983;NPD;;Mecklenburg-Vorpommern;3
;;;Gienger;Eberhard;1951;CDU;266;;
;;;Gierlings;Elisabeth;1932;SPD;;Bayern;48
;;;Giermann;Rita;1941;MLPD;;Hamburg;3
;;;Giesbert;Tim;1980;GRÜNE;119;Nordrhein-Westfalen;18
;;;Giese;Herta-Margarete;1935;Tierschutz;;Niedersachsen;1
;;;Giesel;Jan;1972;ödp;;Hamburg;3
;;;Giesler;David;1984;NPD;168;Hessen;7
;;;Gieß;Anton;1941;RENTNER;;Nordrhein-Westfalen;6
;;;Gießler;Cornelia;1978;CDU;;Thüringen;12
;;;Gilbert;Raimund;1990;BP;;Bayern;20
;;;Gill-Gers;Alexandra;1970;SPD;;Rheinland-Pfalz;17
;;;Gilles;Horst Helmut;1943;RRP;38;Niedersachsen;9
;;;Gillet;Elmar;1965;GRÜNE;;Nordrhein-Westfalen;24
;;;Gilsdorf;Marlene;1935;ödp;;Nordrhein-Westfalen;13
;;;Giren;Magdalena Isabella;1960;DIE LINKE;;Niedersachsen;13
;;;Girmus;Dagmar;1946;Tierschutz;;Niedersachsen;4
;;;Gisart;Gero;1942;CDU;;Nordrhein-Westfalen;59
;;;Glahn;Klaus;1942;RRP;52;Niedersachsen;3
;;;Glanz;Claudia;1954;GRÜNE;162;;
;;;Glas;Bärbel;1962;CDU;;Rheinland-Pfalz;37
;;;Gleicke;Iris;1964;SPD;197;Thüringen;2
;;;Glöckner;David;1985;REP;;Sachsen;6
;;;Glos;Michael;1944;CSU;250;;
;;;Gloser;Günter;1950;SPD;244;Bayern;3
;;;Glück;Ulrich;1969;ödp;;Hamburg;8
;;;Gmelch;Therese;1955;MLPD;;Bayern;5
;;;Godau;Eva-Maria;1947;;70;;
;;;Godawa;Angela;1958;SPD;295;Baden-Württemberg;26
;;;Göhner-Feller;Angelika;1954;MLPD;264;Baden-Württemberg;10
;;;Göktas;Nerman;1958;DIE LINKE;173;;
;;;Göldner;Fritz;1966;PBC;;Bayern;1
;;;Göppel;Josef;1950;CSU;241;;
;;;Göring-Eckardt;Katrin;1966;GRÜNE;192;Thüringen;1
;;;Görke;Bianca;1967;DIE LINKE;;Sachsen-Anhalt;9
;;;Görmann;Horst Günter;1953;NPD;56;Bremen;1
;;;Goertz;Ralf;1965;REP;;Nordrhein-Westfalen;1
;;;Götz;Christian;1967;NPD;215;;
;;;Götz;Elisabeth;1969;NPD;223;;
;;;Götz;Peter;1947;CDU;273;;
;;;Götzer;Dr. Wolfgang;1955;CSU;228;;
;;;Gogolin;Marco;1980;SPD;;Rheinland-Pfalz;20
;;;Gohlke;Nicole;1975;DIE LINKE;219;Bayern;5
;;;Gold;Lars;1985;NPD;268;Baden-Württemberg;7
;;;Goldbach;Stephanie-Johanna;1980;Tierschutz;;Berlin;7
;;;Goldmann;Hans-Michael;1946;FDP;26;Niedersachsen;3
;;;Goldstein;Ulrike;1976;GRÜNE;219;Bayern;21
;;;Golombeck;Heinz;1948;FDP;271;Baden-Württemberg;15
;;;Golze;Diana;1975;DIE LINKE;61;Brandenburg;5
;;;Gonder;Axel;1958;DIE LINKE;113;;
;;;Gorges;Markus;1975;CDU;;Sachsen-Anhalt;10
;;;Gorr;Thomas;1968;NPD;181;;
;;;Gottschalck;Ulrike;1955;SPD;169;;
;;;Gottschalk;Sascha;1978;GRÜNE;204;Rheinland-Pfalz;10
;;;Grabow;Ralf;1965;FDP;;Mecklenburg-Vorpommern;6
;;;Grabowski;Dirk;1973;;100;;
;;;Graf;Andrea;1966;GRÜNE;184;Hessen;13
;;;Graf;Angelika;1947;SPD;223;Bayern;8
;;;Graf;Rainer;1957;ödp;267;;
;;;Graf-Baier;Jutta;1947;DIE LINKE;;Baden-Württemberg;15
;;;Gramberg;Iris;1960;DIE LINKE;28;Niedersachsen;18
;;;Grammel;Markus;1976;PBC;269;Baden-Württemberg;2
;;;Granold;Ute;1955;CDU;206;Rheinland-Pfalz;9
;;;Granser;Bruno;1953;REP;;Baden-Württemberg;14
;;;Granzow;Dennis;1963;SPD;;Brandenburg;14
;;;Grass;Heinz Hubertus;1958;GRÜNE;159;;
;;;Grassert;Armin;1959;VIOLETTEN;;Berlin;3
;;;Gratzke;Denis;1978;NPD;;Sachsen-Anhalt;9
;;;Grau;Toralf;1986;REP;;Sachsen;1
;;;Graue;Oliver;1967;ödp;;Hamburg;5
;;;Graus;Stefan Josef;1977;SPD;;Saarland;25
;;;Greb;Gero;1945;;288;;
;;;Grebe;Marlies;1956;SPD;;Niedersachsen;48
;;;Greckl;Max Josef;1941;RRP;;Bayern;10
;;;Greeb;Christian;1984;NPD;205;Rheinland-Pfalz;8
;;;Greiber;Sebastian;1980;FDP;297;;
;;;Greif;Judith;1984;GRÜNE;218;Bayern;13
;;;Greilich;Annette;1958;FDP;;Hessen;32
;;;Grein;Eberhard;1959;CSU;;Bayern;62
;;;Gremmler;Simon;1983;ödp;;Nordrhein-Westfalen;3
;;;Greuter;Maria;1953;SPD;;Saarland;32
;;;Grewe;Michael;1968;NPD;;Mecklenburg-Vorpommern;7
;;;Griefahn;Monika;1954;SPD;37;Niedersachsen;19
;;;Griesbaum;Joachim;1955;MLPD;;Hamburg;1
;;;Griese;Kerstin;1966;SPD;106;Nordrhein-Westfalen;14
;;;Grigo;Mareike;1977;GRÜNE;106;Nordrhein-Westfalen;23
;;;Grigoleit;Katrin;1968;MLPD;;Thüringen;5
;;;Grimm;Gisela;1962;BP;;Bayern;21
;;;Grindel;Reinhard Dieter;1961;CDU;36;Niedersachsen;16
;;;Gröhe;Hermann;1961;CDU;109;Nordrhein-Westfalen;13
;;;Grohganz;Raphael;1952;CDU;;Hessen;28
;;;Groll;Franz;1943;DIE LINKE;280;;
;;;Groneberg;Gabriele;1955;SPD;33;Niedersachsen;14
;;;Groos;Peter;1964;GRÜNE;85;;
;;;Groschek;Michael;1956;SPD;118;Nordrhein-Westfalen;65
;;;Groß;Michael Peter;1956;SPD;123;Nordrhein-Westfalen;47
;;;Groß;Thorsten;1973;NPD;173;Hessen;9
;;;Groß;Werner;1962;SPD;213;Bayern;42
;;;Große;Klaus;1953;FDP;86;Berlin;9
;;;Grosse-Brömer;Michael;1960;CDU;37;Niedersachsen;7
;;;Grosser;Lüder;1973;BüSo;259;Baden-Württemberg;5
;;;Großhans;Heinz;1955;VIOLETTEN;;Baden-Württemberg;2
;;;Großjean;Marc;1986;PIRATEN;;Saarland;2
;;;Grossmann;Edward;1947;Volksabst.;;Baden-Württemberg;6
;;;Grotelüschen;Astrid;1964;CDU;29;Niedersachsen;21
;;;Groth;Annette;1954;DIE LINKE;279;Baden-Württemberg;5
;;;Groth;Inga;1981;CDU;;Mecklenburg-Vorpommern;8
;;;Grube;Andreas;1960;;190;;
;;;Grube;Karl-Peter;1951;ödp;20;Hamburg;7
;;;Gruber;Andreas;1946;BP;;Bayern;22
;;;Grübel;Markus;1959;CDU;261;;
;;;Gründler;Michael Johannes;1958;BüSo;;Sachsen;7
;;;Grüning;Rolf;1959;DIE LINKE;276;;
;;;Grünwedel;Holger;1958;DIE LINKE;251;;
;;;Grüß;Michael;1976;DKP;;Berlin;17
;;;Grüter;Dr. Stefan;1954;CDU;;Baden-Württemberg;41
;;;Grütters;Prof. Monika;1962;CDU;86;Berlin;1
;;;Grund;Manfred;1955;CDU;189;Thüringen;1
;;;Grundl;Erhard;1963;GRÜNE;231;Bayern;20
;;;Gruß;Miriam;1975;FDP;252;Bayern;5
;;;Gudat;Helmut;1957;NPD;90;Nordrhein-Westfalen;6
;;;Gülck;Elke;1937;DVU;;Sachsen-Anhalt;2
;;;Günter;Tanya-Michelé;1969;FAMILIE;;Bayern;4
;;;Günther;Joachim;1948;FDP;167;Sachsen;2
;;;Gür;Derya;1981;GRÜNE;;Nordrhein-Westfalen;21
;;;Güssgen;Achim;1957;FDP;177;Hessen;15
;;;Gujjula;Ravindra;1954;SPD;60;Brandenburg;11
;;;Gumppenberg Freiherr von;Dietrich;1941;FDP;;Bayern;37
;;;Gund;Madline;1987;CDU;;Baden-Württemberg;37
;;;Gunder;Rosemarie;1952;GRÜNE;;Bayern;23
;;;Gungl;Andrea;1959;CDU;;Baden-Württemberg;42
;;;Gunkel;Wolfgang;1947;SPD;158;Sachsen;5
;;;Gutowski;Erold;1950;REP;;Baden-Württemberg;9
;;;Gutsche;Hermann;1954;NPD;5;Schleswig-Holstein;6
;;;Guttenberg Freiherr von und zu;Dr. Karl-Theodor;1971;CSU;240;Bayern;3
;;;Gutting;Olav;1970;CDU;278;;
;;;Gysi;Dr. Gregor;1948;DIE LINKE;85;Berlin;1
;;;Haag;Tilo;1978;PIRATEN;;Mecklenburg-Vorpommern;5
;;;Haar;Detlef;1945;RRP;46;;
;;;Haase;Heiner Joachim;1957;GRÜNE;35;Niedersachsen;10
;;;Haase;Stephan;1968;NPD;150;Nordrhein-Westfalen;2
;;;Habereder;Christine;1963;Volksabst.;;Baden-Württemberg;2
;;;Habisch;Thomas;1969;PIRATEN;;Brandenburg;3
;;;Hachenburger;Manuel;1962;;177;;
;;;Hackenbruch;Tino;1977;CDU;;Rheinland-Pfalz;17
;;;Hacker;Hans-Joachim;1949;SPD;13;Mecklenburg-Vorpommern;1
;;;Hackl;Maria;1956;SPD;253;Bayern;32
;;;Häggberg;Verena;1973;ödp;;Hamburg;2
;;;Hähnel;Jörg;1975;NPD;77;Berlin;2
;;;Hähnel;Stella;1972;NPD;63;;
;;;Hähner;Andrea;1961;MLPD;;Schleswig-Holstein;3
;;;Haemer;Günter;1940;REP;;Hessen;3
;;;Hänsch;Lothar;1949;FDP;19;Hamburg;8
;;;Hänsel;Heike;1966;DIE LINKE;290;Baden-Württemberg;2
;;;Härle;Siegfried;1935;NPD;292;;
;;;Haerting;Dr. Gesine;1958;GRÜNE;75;;
;;;Häse;Jenny;1987;BüSo;;Brandenburg;2
;;;Haese;Peter Joachim Bruno;1937;NPD;230;;
;;;Haese;Reinhard Gerd-Jürgen;1948;REP;;Berlin;1
;;;Häßler;Markus;1983;;238;;
;;;Häupl;Gotthard Lothar;1949;;160;;
;;;Hagedorn;Angelika Jutta;1957;FAMILIE;;Nordrhein-Westfalen;6
;;;Hagedorn;Bettina;1955;SPD;9;Schleswig-Holstein;2
;;;Hagelstein;Gene;1967;SPD;;Hessen;21
;;;Hagemann;Klaus;1947;SPD;207;Rheinland-Pfalz;9
;;;Hagen;Heide;1956;PIRATEN;;Berlin;2
;;;Hager;Jörg;1980;NPD;;Baden-Württemberg;9
;;;Hager-Dietel;Ina;1959;CSU;;Bayern;46
;;;Hagl;Rita;1970;SPD;227;Bayern;34
;;;Hahn;Florian;1974;CSU;222;Bayern;33
;;;Hahn;Michael;1970;NPD;54;Niedersachsen;7
;;;Haibach;Holger-Heinrich;1971;CDU;176;Hessen;17
;;;Hakverdi;Metin;1969;SPD;;Hamburg;10
;;;Halbroth;Fredy;1953;REP;;Baden-Württemberg;10
;;;Haliti;Marcel;1983;NPD;119;;
;;;Hall;Alexandra;1972;ZENTRUM;;Nordrhein-Westfalen;3
;;;Haller;Ingo;1972;NPD;91;;
;;;Halmanns;Matthias;1981;NPD;115;;
;;;Haltaufderheide;Karen;1960;GRÜNE;139;Nordrhein-Westfalen;19
;;;Hamacher;Ralf;1962;FAMILIE;;Nordrhein-Westfalen;8
;;;Hamisch;Enrico;1974;NPD;;Mecklenburg-Vorpommern;8
;;;Hammer;Sandro;1974;DIE LINKE;235;Bayern;26
;;;Hanke;Tim;1979;CDU;;Schleswig-Holstein;17
;;;Hannemann-Röttgers;Brigit Susanne;1961;SPD;;Schleswig-Holstein;16
;;;Happach-Kasan;Dr. Christel;1950;FDP;10;Schleswig-Holstein;2
;;;Harbarth;Dr. Stephan;1971;CDU;277;;
;;;Hardt;Jürgen;1963;CDU;104;Nordrhein-Westfalen;48
;;;Harf;Oliver;1972;NPD;88;;
;;;Harting;Burkhard;1962;ZENTRUM;;Nordrhein-Westfalen;5
;;;Hartmann;Alexander;1961;BüSo;179;Hessen;1
;;;Hartmann;Birgit;1960;BP;;Bayern;23
;;;Hartmann;Detlef;1959;NPD;104;;
;;;Hartmann;Esther;1955;DIE LINKE;6;Schleswig-Holstein;3
;;;Hartmann;Georg;1936;NPD;187;Hessen;8
;;;Hartmann;Günther;1965;ödp;219;Bayern;19
;;;Hartmann;Maria;1955;FAMILIE;;Nordrhein-Westfalen;1
;;;Hartmann;Michael;1963;SPD;206;Rheinland-Pfalz;2
;;;Hartmann;Simon;1977;SPD;;Niedersachsen;37
;;;Hartmann;Thomas;1963;GRÜNE;256;;
;;;Hartmann;Uwe;1963;BP;;Bayern;2
;;;Hartmann-Bastert;Sabine;1974;CDU;;Hessen;44
;;;Hartwig;Frank;1960;NPD;255;;
;;;Hartwig;Karin;1960;NPD;253;;
;;;Hasenjäger;Agnes;1950;DIE LINKE;;Niedersachsen;11
;;;Hassel;Dagmar;1958;CDU;;Rheinland-Pfalz;18
;;;Hassel-Reusing;Sarah Luzia;1961;ödp;;Nordrhein-Westfalen;12
;;;Hasselbach;Philipp Maximilian;1987;NPD;222;;
;;;Hasselfeldt;Gerda;1950;CSU;216;Bayern;2
;;;Haßelmann;Britta;1961;GRÜNE;133;Nordrhein-Westfalen;3
;;;Haßler;Florian;1977;GRÜNE;260;Baden-Württemberg;14
;;;Hassler;Jörgen Michael;1983;SPD;;Brandenburg;15
;;;Hauck;Marc;1978;FDP;;Rheinland-Pfalz;28
;;;Hauck;Michael;1970;GRÜNE;244;;
;;;Hauck;Norbert;1949;REP;;Rheinland-Pfalz;1
;;;Hauenschild;Rainer;1968;DIE LINKE;261;;
;;;Hauer;Matthias;1977;CDU;121;Nordrhein-Westfalen;46
;;;Hauer;Nina;1968;SPD;177;Hessen;11
;;;Haug;Stefan;1958;GRÜNE;230;;
;;;Haugg;Friedrich;1969;FDP;;Bayern;28
;;;Hauptstein;Gabriele;1960;FDP;67;Sachsen-Anhalt;4
;;;Haustein;Heinz-Peter;1954;FDP;165;Sachsen;3
;;;Haverlandt;Sven-Gunnar;1978;NPD;;Brandenburg;5
;;;Hebach;Maria-Anna;1946;Volksabst.;;Baden-Württemberg;5
;;;Heck;Stefan;1982;CDU;172;Hessen;19
;;;Heer;Doris;1949;DIE LINKE;;Baden-Württemberg;17
;;;Heerwald;Lutz;1960;MLPD;;Brandenburg;2
;;;Hegendörfer;Brigitte;1955;CSU;;Bayern;47
;;;Hegener;Ute;1955;GRÜNE;120;;
;;;Hegewald;Reinhard;1964;CDU;25;Niedersachsen;22
;;;Heidbüchel;Silvio;1988;DIE LINKE;253;Bayern;20
;;;Heidemann;Wilfried Bernd Jürgen;1939;RRP;;Nordrhein-Westfalen;3
;;;Heider;Dr. Matthias;1966;CDU;150;;
;;;Heiderich;Helmut;1949;CDU;170;Hessen;15
;;;Heike;Anny;1948;DIE LINKE;243;;
;;;Heil;Hubertus;1972;SPD;46;Niedersachsen;3
;;;Heil;Mechthild;1961;CDU;199;Rheinland-Pfalz;10
;;;Heilemann;Martin;1966;DIE LINKE;25;Niedersachsen;31
;;;Heilmann;Lutz Eberhard;1966;DIE LINKE;9;;
;;;Heim;Adrian;1964;ödp;216;Bayern;20
;;;Heimsoth;Dirk;1956;NPD;39;;
;;;Hein;Dr. Rosemarie Anna Gertrud;1953;DIE LINKE;70;Sachsen-Anhalt;5
;;;Heine;Tobias;1986;PIRATEN;;Niedersachsen;10
;;;Heinel;Silvia;1988;BüSo;80;Berlin;6
;;;Heinemann;Uwe;1975;SPD;;Hessen;41
;;;Heinemeyer;Anita;1948;DIE LINKE;93;;
;;;Heinen;Alexandra;1971;CDU;;Saarland;15
;;;Heinen-Esser;Ursula;1965;CDU;94;Nordrhein-Westfalen;3
;;;Heinlein;Filip;1985;GRÜNE;196;;
;;;Heinrich;Frank;1964;CDU;163;;
;;;Heinrich;Ralf;1962;BüSo;253;Bayern;10
;;;Heins;Dr. Christine;1963;CDU;;Schleswig-Holstein;26
;;;Heintel;Marcus;1976;SPD;201;Rheinland-Pfalz;15
;;;Heinz;Alexander;1978;FDP;;Saarland;8
;;;Heinzmann;Axel;1946;NPD;289;;
;;;Heinzmann;Gerhard;1940;PBC;;Baden-Württemberg;1
;;;Heinzmann;Michael;1969;PBC;;Rheinland-Pfalz;1
;;;Heise;Thorsten;1969;NPD;189;Thüringen;3
;;;Heiske;Thomas Martin;1966;FDP;114;Nordrhein-Westfalen;47
;;;Heitchen;Michael;1971;FDP;52;Niedersachsen;18
;;;Helge;Ingo;1976;NPD;206;Rheinland-Pfalz;6
;;;Heller;Hendrik Tilmann;1986;NPD;197;Thüringen;5
;;;Heller;Uda Carmen Freia;1951;CDU;75;Sachsen-Anhalt;2
;;;Helling;Harald;1958;SPD;;Niedersachsen;45
;;;Helling;Katrin;1986;FDP;139;Nordrhein-Westfalen;28
;;;Hellmich;Wolfgang;1958;SPD;147;Nordrhein-Westfalen;15
;;;Hellriegel;Ronnie;1978;NPD;258;;
;;;Helmer;Jan;1964;CSU;;Bayern;34
;;;Hemker;Dr. Reinhold;1944;SPD;129;;
;;;Hempel;Dennis;1983;;78;;
;;;Hempelmann;Rolf;1948;SPD;120;Nordrhein-Westfalen;61
;;;Hendricks;Dr. Barbara;1952;SPD;113;Nordrhein-Westfalen;9
;;;Henke;Rudolf;1954;CDU;88;Nordrhein-Westfalen;41
;;;Henke;Walter;1952;FDP;58;Brandenburg;8
;;;Henn;Werner;1957;SPD;278;Baden-Württemberg;35
;;;Henne;Andreas;1966;CDU;;Hessen;31
;;;Henneke;Stefanie;1979;GRÜNE;34;;
;;;Hennig;Martin;1970;BüSo;219;Bayern;13
;;;Hennigs von;Wolff-Eberhard;1929;CDU;;Baden-Württemberg;34
;;;Henning;Dr. Rigolf;1935;NPD;35;;
;;;Hennne;Dieter;1955;FAMILIE;;Saarland;6
;;;Hennrich;Michael;1965;CDU;262;;
;;;Henrichs;Werner;1938;Volksabst.;99;Nordrhein-Westfalen;3
;;;Henry;Ursula Maria;1941;SPD;;Saarland;13
;;;Hense;Norbert;1990;;284;;
;;;Hentzen;Christoph;1959;FDP;186;Hessen;20
;;;Henzler;Clemens;1945;CDU;;Rheinland-Pfalz;35
;;;Herbert;Dr. Ernst Albert;1952;MLPD;102;;
;;;Herbert;Sibylle;1942;FDP;;Hessen;31
;;;Herbert;Stefan;1965;VIOLETTEN;;Baden-Württemberg;7
;;;Herbert;Dr. Ulrich;1952;FDP;238;Bayern;17
;;;Herlitzius;Bettina;1960;GRÜNE;89;Nordrhein-Westfalen;13
;;;Hermann;Petra;1960;FDP;121;Nordrhein-Westfalen;42
;;;Hermann;Winfried;1952;GRÜNE;290;Baden-Württemberg;6
;;;Hermes;Stefan;1967;PIRATEN;;Hessen;4
;;;Herold;Hans-Dieter;1951;GRÜNE;240;;
;;;Herr;Bärbel;1948;REP;;Bayern;6
;;;Herrmann;Dr. Dietrich;1962;GRÜNE;160;;
;;;Herrmann;Jürgen;1962;CDU;137;;
;;;Hertz;Detlef;1967;DIE LINKE;;Nordrhein-Westfalen;31
;;;Hertzler-Zimmer;Christine;1966;SPD;;Saarland;26
;;;Herz;Monica;1956;;226;;
;;;Herzig;Franz;1950;CDU;;Hessen;33
;;;Herzog;Gustav;1958;SPD;210;Rheinland-Pfalz;4
;;;Heß;Konrad Rudolf;1939;FAMILIE;;Rheinland-Pfalz;6
;;;Heß;Marion;1967;FDP;259;Baden-Württemberg;24
;;;Heß;Petra;1959;SPD;192;Thüringen;4
;;;Hesse;Klaus-Peter;1967;CDU;;Hamburg;9
;;;Hettlich;Peter;1959;GRÜNE;152;;
;;;Hetz;Ingrid;1956;VIOLETTEN;228;Bayern;3
;;;Heurung;Markus;1977;PIRATEN;251;;
;;;Heuser;Walter;1936;DIE LINKE;101;;
;;;Heveling;Ansgar;1972;CDU;111;;
;;;Heyder;Matthias;1972;NPD;69;Sachsen-Anhalt;1
;;;Heydrich;Dr. Jürgen;1933;REP;;Nordrhein-Westfalen;2
;;;Heyenn;Hannah;1982;DIE LINKE;;Hamburg;5
;;;Heynemann;Bernd Reinhold Gerhard;1954;CDU;70;Sachsen-Anhalt;9
;;;Hiebinger;Wolfgang;1946;BP;;Bayern;24
;;;Hiekisch;Antje;1977;NPD;;Sachsen;2
;;;Hien;Michael Siegmund Reinhard;1987;CSU;;Bayern;44
;;;Hiksch;Uwe;1964;DIE LINKE;238;;
;;;Hilburger;Karl Willi Arthur;1947;RRP;;Bayern;5
;;;Hildebrand;Anna-Maria;1985;BüSo;81;Berlin;8
;;;Hildebrandt;Arne;1985;PIRATEN;;Brandenburg;4
;;;Hildebrandt;Robert;1983;PIRATEN;;Thüringen;5
;;;Hilgenkamp;Frank;1972;GRÜNE;147;;
;;;Hilgert;Rainer;1953;ödp;;Rheinland-Pfalz;1
;;;Hilker;Axel;1967;GRÜNE;;Schleswig-Holstein;12
;;;Hill;Hans-Kurt;1950;DIE LINKE;298;;
;;;Hillbrecht;Dirk;1972;PIRATEN;;Niedersachsen;1
;;;Hillebrand;Heinz;1954;DIE LINKE;104;;
;;;Hiller-Ohm;Gabriele;1953;SPD;11;Schleswig-Holstein;4
;;;Hinsken;Ernst;1943;CSU;231;;
;;;Hintze;Henning;1942;DIE LINKE;221;Bayern;16
;;;Hintze;Peter;1950;CDU;103;Nordrhein-Westfalen;4
;;;Hinz;Petra;1962;SPD;121;Nordrhein-Westfalen;32
;;;Hinz;Priska;1959;GRÜNE;173;Hessen;1
;;;Hirsch;Cornelia;1980;DIE LINKE;192;Thüringen;5
;;;Hirte;Christian;1976;CDU;190;Thüringen;4
;;;Hitschler;Thomas;1982;SPD;;Rheinland-Pfalz;32
;;;Hochbaum;Robert;1954;CDU;167;;
;;;Hochstein;Stephan;1983;BüSo;141;Nordrhein-Westfalen;9
;;;Höche;Heidrun;1959;VIOLETTEN;;Baden-Württemberg;10
;;;Höferlin;Manuel;1973;FDP;207;Rheinland-Pfalz;5
;;;Höfken-Deipenbrock;Ulrike;1955;GRÜNE;203;Rheinland-Pfalz;1
;;;Höger;Inge;1950;DIE LINKE;134;Nordrhein-Westfalen;3
;;;Högl;Dr. Eva;1969;SPD;76;Berlin;7
;;;Höhfeld;Jörg;1944;GRÜNE;142;;
;;;Höhn;Bärbel;1952;GRÜNE;118;Nordrhein-Westfalen;1
;;;Höhne;Renate;1956;MLPD;;Nordrhein-Westfalen;21
;;;Höll;Dr. Barbara;1957;DIE LINKE;153;Sachsen;3
;;;Hönlinger;Ingrid;1964;GRÜNE;265;Baden-Württemberg;9
;;;Höntsch;Michael Hans;1954;DIE LINKE;42;Niedersachsen;29
;;;Hörner;Manfred;1951;MLPD;;Bayern;9
;;;Hoersch;Rüdiger;1964;RRP;;Saarland;1
;;;Hörster;Heinz-Jürgen;1949;DIE LINKE;99;Nordrhein-Westfalen;26
;;;Hörster;Joachim;1945;CDU;205;Rheinland-Pfalz;1
;;;Höveler;Andreas Christian;1944;DVU;;Nordrhein-Westfalen;4
;;;Hövelmann;Heinrich;1956;FAMILIE;;Nordrhein-Westfalen;12
;;;Hövener;Jan;1966;;55;;
;;;Höving;Heiner;1960;DVU;;Sachsen-Anhalt;1
;;;Höwing;Ulrich;1983;;140;;
;;;Hoff;Elke;1957;FDP;198;Rheinland-Pfalz;3
;;;Hoffman;Dr. Bettina;1960;GRÜNE;;Hessen;9
;;;Hoffmann;Dieter;1965;GRÜNE;;Saarland;3
;;;Hoffmann;Hans-Viktor;1943;FDP;;Brandenburg;7
;;;Hoffmann;Dr. Ludwig;1937;BüSo;;Baden-Württemberg;4
;;;Hoffmann;Rolf;1935;;7;;
;;;Hoffmann;Susanne;1960;NPD;281;;
;;;Hoffmann;Timo;1978;BüSo;;Berlin;11
;;;Hoffmann;Ulrich;1962;ödp;253;Bayern;2
;;;Hoffmeier;Michael;1969;GRÜNE;189;Thüringen;6
;;;Hofmann;Axel;1944;DIE LINKE;100;;
;;;Hofmann;Frank;1949;SPD;250;Bayern;11
;;;Hofmann;Frank;1957;BP;250;;
;;;Hofmann;Franziska;1948;CM;;Bayern;10
;;;Hofmann;Friedrich;1954;MLPD;;Thüringen;3
;;;Hofreiter;Dr. Anton;1970;GRÜNE;222;Bayern;4
;;;Hofstetter;Hermann;1962;ödp;225;Bayern;21
;;;Hohenadl;Ruth;1960;FDP;218;Bayern;27
;;;Hohmann;Anna Helga Angela;1963;SPD;;Niedersachsen;44
;;;Holl;Michael;1990;;251;;
;;;Hollack;Karin;1940;NPD;48;;
;;;Holmeier;Karl;1956;CSU;234;;
;;;Holst;Ingeborg;1938;Tierschutz;;Baden-Württemberg;1
;;;Holz;Angela Brigitte;1979;SPD;;Niedersachsen;38
;;;Holzenkamp;Franz-Josef;1960;CDU;33;Niedersachsen;30
;;;Holzer;Malte;1965;NPD;32;Niedersachsen;5
;;;Homburger;Birgit;1965;FDP;287;Baden-Württemberg;1
;;;Honsel;Gerhard;1946;FAMILIE;;Nordrhein-Westfalen;7
;;;Hopfner;Dr. Wielant;1942;NPD;250;Bayern;5
;;;Hopmann;Ulrich;1953;SPD;;Nordrhein-Westfalen;64
;;;Hoppe;Siegmund;1953;PIRATEN;;Hamburg;3
;;;Hoppe;Thilo;1958;GRÜNE;25;Niedersachsen;4
;;;Horb;Margaret;1967;CDU;;Baden-Württemberg;18
;;;Horbas;Rainer;1970;FDP;152;;
;;;Horn;Waldemar;1973;NPD;214;;
;;;Hornig;Mirco;1973;REP;;Nordrhein-Westfalen;16
;;;Hornung;Cornelia;1975;SPD;;Hessen;24
;;;Hornung;Fritz-Walter;1957;DIE LINKE;181;;
;;;Hornung;Nicole;1958;PIRATEN;186;Hessen;7
;;;Horz-Hövel;Sophia;1963;GRÜNE;;Hessen;15
;;;Houben;Bettina;1960;FDP;96;Nordrhein-Westfalen;36
;;;Hoyer;Dr. Guido;1968;DIE LINKE;215;Bayern;14
;;;Hoyer;Dr. Werner;1951;FDP;95;Nordrhein-Westfalen;4
;;;Hubatschek;André Torsten;1965;FDP;166;Sachsen;8
;;;Huber;Edda;1938;Tierschutz;;Bayern;5
;;;Huber;Judith;1963;SPD;;Berlin;13
;;;Huber;Jürgen;1954;GRÜNE;233;;
;;;Huber;Klaus;1942;FAMILIE;;Bayern;5
;;;Huber;Konrad;1967;REP;256;Bayern;8
;;;Huber;Martin;1960;REP;;Bayern;9
;;;Hubig;Ute;1947;CDU;;Saarland;10
;;;Hübinger;Anette;1955;CDU;296;Saarland;2
;;;Hübner;Bernd Michael;1961;DIE LINKE;123;;
;;;Hübner;Klaas;1967;SPD;72;;
;;;Hühnlein;Johannes;1984;NPD;248;;
;;;Huemer;Robert;1967;ödp;252;Bayern;22
;;;Hüppe;Hubert;1956;CDU;145;Nordrhein-Westfalen;22
;;;Huffer;Michael;1956;DIE LINKE;49;;
;;;Hufgard;Christian;1979;PIRATEN;;Hessen;3
;;;Hultsch;Roland Wolfgang;1955;BüSo;;Sachsen;12
;;;Humme;Christel;1949;SPD;140;Nordrhein-Westfalen;25
;;;Hummel;Alexander Helmut;1977;CSU;;Bayern;40
;;;Hummel;Peter;1965;BüSo;;Hessen;5
;;;Hummel;Thomas;1982;BP;;Bayern;10
;;;Hummel;Werner;1963;FAMILIE;;Bayern;10
;;;Hummert;Christian;1979;DIE LINKE;;Thüringen;11
;;;Hunderlach;Ralph;1974;PIRATEN;;Bayern;8
;;;Hunko;Andrej Konstantin;1963;DIE LINKE;88;Nordrhein-Westfalen;6
