Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
;;;Bender;Birgitt;1956;GRÜNE;259;Baden-Württemberg;7
;;;Bender;Mario;1966;DIE LINKE;;Saarland;4
;;;Bendigkeit;Anneliese;1943;CDU;;Baden-Württemberg;26
;;;Benedetto Di;Edgar;1958;DIE LINKE;29;Niedersachsen;32
;;;Benneter;Klaus Uwe;1947;SPD;80;Berlin;5
;;;Bensmann;Felix;1985;FDP;;Niedersachsen;28
;;;Bentz;Konrad;1920;NPD;170;;
;;;Benz;Josef;1953;FDP;273;Baden-Württemberg;28
;;;Benz;Karl Hans August;1938;RRP;;Bayern;9
;;;Benz;Markus;1955;VIOLETTEN;281;Baden-Württemberg;1
;;;Berberich;Patrick;1979;CDU;;Rheinland-Pfalz;29
;;;Berbig;Miro;1964;DIE LINKE;8;;
;;;Berg;Dr. Axel;1959;SPD;218;Bayern;17
;;;Berg;Ute;1953;SPD;138;Nordrhein-Westfalen;17
;;;Bergen;Lars;1975;CSU;;Bayern;63
;;;Berger;Cornelia;1956;NPD;76;;
;;;Berger;Frank;1976;FDP;255;Bayern;52
;;;Berger;Milan;1978;PIRATEN;245;;
;;;Berger;Dr. Dr. Wolfgang Georg Justus;1941;;212;;
;;;Bergler;Volker;1968;BP;;Bayern;13
;;;Bergmoser;Jutta;1961;GRÜNE;128;Nordrhein-Westfalen;27
;;;Bergner;Dr. Christoph;1948;CDU;73;Sachsen-Anhalt;1
;;;Berisha;Christian;1967;NPD;38;;
;;;Berlinghof;Jutta;1961;GRÜNE;246;Bayern;19
;;;Bernd;Christopher;1986;PBC;;Rheinland-Pfalz;6
;;;Berndt;Wolfgang Herbert Josef;1949;DIE LINKE;232;;
;;;Bernhard;Marc;1972;CDU;;Baden-Württemberg;9
;;;Bernmeiser;Martin;1952;VIOLETTEN;;Bayern;16
;;;Berns;Wolfgang;1948;FDP;173;Hessen;10
;;;Bernschneider;Florian;1986;FDP;51;Niedersachsen;7
;;;Bernsen;Jürgen Heinrich;1963;;77;;
;;;Bernstein;Patrick;1973;NPD;221;;
;;;Bertram;Ute;1961;CDU;;Niedersachsen;49
;;;Besemann;Karl-Heinz;1950;DVU;;Niedersachsen;2
;;;Bestehorn;Harald;1962;NPD;239;;
;;;Bestgen;Markus;1964;FDP;98;Nordrhein-Westfalen;27
;;;Bethge;Horst;1935;DIE LINKE;;Hamburg;4
;;;Bethke;Cornelia;1966;SPD;;Hessen;35
;;;Beutin;Lorenz Gösta;1978;DIE LINKE;10;;
;;;Beyer;Christian;1974;SPD;232;Bayern;27
;;;Beyer;Lars;1969;NPD;;Brandenburg;9
;;;Beyer;Peter;1970;CDU;106;Nordrhein-Westfalen;53
;;;Beyer;Stephan;1985;;192;;
;;;Beyer;Stephan;1985;PIRATEN;;Thüringen;8
;;;Bieder;Bettina;1980;NPD;81;;
;;;Bieler;Christian;1985;NPD;198;;
;;;Biener;KLaus;1959;GRÜNE;;Mecklenburg-Vorpommern;8
;;;Biereichelt;Xenia;1989;BüSo;153;Sachsen;6
;;;Biesenbach;Arnhild;1955;CDU;;Niedersachsen;39
;;;Biester;Hans-Dieter;1945;RENTNER;;Hamburg;2
;;;Bihler;Michael;1979;CSU;;Bayern;48
;;;Bilger;Steffen;1979;CDU;265;;
;;;Biller;Rainer;1965;NPD;245;;
;;;Binder;Karin;1957;DIE LINKE;271;Baden-Württemberg;3
;;;Binder;Martin;1980;CDU;;Rheinland-Pfalz;16
;;;Binder;Sascha;1983;SPD;263;Baden-Württemberg;29
;;;Binding;Lothar;1950;SPD;274;Baden-Württemberg;14
;;;Bing;Peter;1951;RENTNER;;Schleswig-Holstein;2
;;;Binninger;Clemens;1962;CDU;260;;
;;;Birk;Katharina;1967;DIE LINKE;;Baden-Württemberg;19
