112;Viersen;5;214196
113;Kleve;5;210993
114;Wesel I;5;192360
115;Krefeld II ? Wesel II;5;222636
116;Duisburg I;5;184337
117;Duisburg II;5;194732
118;Oberhausen ? Wesel III;5;185071
119;MÅlheim ? Essen I;5;212611
120;Essen II;5;214882
121;Essen III;5;210695
122;Recklinghausen I;5;181422
123;Recklinghausen II;5;182246
124;Gelsenkirchen;5;173946
125;Steinfurt I ? Borken I;5;221226
126;Bottrop ? Recklinghausen III;5;187479
127;Borken II;5;175874
128;Coesfeld ? Steinfurt II;5;195505
129;Steinfurt III;5;190058
130;MÅnster;5;212140
131;Warendorf;5;172278
132;GÅtersloh;5;221180
133;Bielefeld;5;233622
134;Herford ? Minden-LÅbbecke II;5;234911
135;Minden-LÅbbecke I;5;199708
136;Lippe I;5;242568
137;Hîxter ? Lippe II;5;195658
138;Paderborn;5;196560
139;Hagen ? Ennepe-Ruhr-Kreis I;5;178493
140;Ennepe-Ruhr-Kreis II;5;190569
141;Bochum I;5;168357
142;Herne ? Bochum II;5;192571
143;Dortmund I;5;213225
144;Dortmund II;5;251837
145;Unna I;5;202156
146;Hamm ? Unna II;5;217445
147;Soest;5;220974
148;Hochsauerlandkreis;5;235030
149;Siegen-Wittgenstein;5;184220
150;Olpe ? MÑrkischer Kreis I;5;214215
151;MÑrkischer Kreis II;5;184454
152;Nordsachsen;16;181088
153;Leipzig I;16;244919
154;Leipzig II;16;165210
155;Leipzig-Land;16;204091
156;Mei·en;16;180442
157;Bautzen I;16;220220
158;Gîrlitz;16;206805
159;SÑchsische Schweiz ? Osterzgebirge;16;224090
160;Dresden I;16;241035
161;Dresden II ? Bautzen II;16;223234
162;Mittelsachsen;16;176381
163;Chemnitz;16;224418
164;Chemnitzer Umland ? Erzgebirgskreis II;16;201833
165;Erzgebirgskreis I;16;208654
166;Zwickau;16;208664
167;Vogtlandkreis;16;211807
168;Waldeck;7;198437
169;Kassel;7;215910
170;Werra-Mei·ner ? Hersfeld-Rotenburg;7;195971
171;Schwalm-Eder;7;194304
172;Marburg;7;220877
173;Lahn-Dill;7;198923
174;Gie·en;7;210636
175;Fulda;7;225703
176;Hochtaunus;7;213013
177;Wetterau;7;204619
178;Rheingau-Taunus ? Limburg;7;200726
179;Wiesbaden;7;167458
180;Hanau;7;197671
181;Main-Taunus;7;177784
182;Frankfurt am Main I;7;198399
183;Frankfurt am Main II;7;189559
184;Gro·-Gerau;7;218934
185;Offenbach;7;162508
186;Darmstadt;7;167789
187;Odenwald;7;181362
188;Bergstra·e;7;185890
189;Eichsfeld ? Nordhausen ? Unstrut-Hainich-Kreis I;9;166775
190;Eisenach ? Wartburgkreis ? Unstrut-Hainich-Kreis II;9;185961
191;KyffhÑuserkreis ? Sîmmerda ? Weimarer Land I;9;212087
192;Gotha ? Ilm-Kreis;9;244678
193;Erfurt ? Weimar ? Weimarer Land II;9;250512
194;Gera ? Jena ? Saale-Holzland-Kreis;9;220785
195;Greiz ? Altenburger Land;9;231017
196;Sonneberg ? Saalfeld-Rudolstadt ? Saale-Orla-Kreis;9;211617
197;Suhl ? Schmalkalden-Meiningen ? Hildburghausen;9;231682
198;Neuwied;2;242625
199;Ahrweiler;2;226483
200;Koblenz;2;242366
201;Mosel/Rhein-HunsrÅck;2;205115
202;Kreuznach;2;249153
203;Bitburg;2;154767
204;Trier;2;246833
205;Montabaur;2;186068
206;Mainz;2;162109
207;Worms;2;173068
208;Ludwigshafen/Frankenthal;2;214616
209;Neustadt ? Speyer;2;243083
210;Kaiserslautern;2;216044
211;Pirmasens;2;172011
212;SÅdpfalz;2;177197
213;Altîtting;4;164344
214;Erding ? Ebersberg;4;162834
215;Freising;4;180735
216;FÅrstenfeldbruck;4;173473
217;Ingolstadt;4;243953
218;MÅnchen-Nord;4;177261
219;MÅnchen-Ost;4;249703
220;MÅnchen-SÅd;4;189738
221;MÅnchen-West/Mitte;4;184672
222;MÅnchen-Land;4;224946
223;Rosenheim;4;183872
224;Starnberg;4;219607
225;Traunstein;4;199081
226;Weilheim;4;200116
227;Deggendorf;4;225807
228;Landshut;4;206196
229;Passau;4;240672
230;Rottal-Inn;4;189097
231;Straubing;4;235775
232;Amberg;4;221708
233;Regensburg;4;242341
234;Schwandorf;4;207292
235;Weiden;4;214924
236;Bamberg;4;184896
237;Bayreuth;4;201442
238;Coburg;4;197252
239;Hof;4;232250
240;Kulmbach;4;183112
241;Ansbach;4;184436
242;Erlangen;4;217335
243;FÅrth;4;195857
244;NÅrnberg-Nord;4;232759
245;NÅrnberg-SÅd;4;197444
246;Roth;4;222647
247;Aschaffenburg;4;200391
248;Bad Kissingen;4;203416
249;Main-Spessart;4;204766
250;Schweinfurt;4;171705
251;WÅrzburg;4;168604
252;Augsburg-Stadt;4;249983
253;Augsburg-Land;4;255845
254;Donau-Ries;4;199083
255;Neu-Ulm;4;239221
256;OberallgÑu;4;246651
257;OstallgÑu;4;208525
258;Stuttgart I;10;196389
259;Stuttgart II;10;192709
260;Bîblingen;10;226424
261;Esslingen;10;217571
262;NÅrtingen;10;224968
263;Gîppingen;10;253514
264;Waiblingen;10;247700
265;Ludwigsburg;10;230121
266;Neckar-Zaber;10;178447
267;Heilbronn;10;202455
268;SchwÑbisch Hall ? Hohenlohe;10;212804
269;Backnang ? SchwÑbisch GmÅnd;10;231084
270;Aalen ? Heidenheim;10;216629
271;Karlsruhe-Stadt;10;237786
272;Karlsruhe-Land;10;238958
273;Rastatt;10;215674
274;Heidelberg;10;230676
275;Mannheim;10;231247
276;Odenwald ? Tauber;10;223149
277;Rhein-Neckar;10;205652
278;Bruchsal ? Schwetzingen;10;202743
279;Pforzheim;10;247624
280;Calw;10;229535
281;Freiburg;10;213732
282;Lîrrach ? MÅllheim;10;182677
283;Emmendingen ? Lahr;10;239481
284;Offenburg;10;237308
285;Rottweil ? Tuttlingen;10;249356
286;Schwarzwald-Baar;10;197289
287;Konstanz;10;253026
288;Waldshut;10;223268
289;Reutlingen;10;214081
290;TÅbingen;10;232086
291;Ulm;10;204717
292;Biberach;10;201700
293;Bodensee;10;201075
294;Ravensburg;10;214510
295;Zollernalb ? Sigmaringen;10;225534
296;SaarbrÅcken;12;245228
297;Saarlouis;12;182336
298;St. Wendel;12;231447
299;Homburg;12;207012
