Nr;SPD;;CDU;;FDP;;DIE LINKE;;GRÜNE;;CSU;;NPD;;REP;;FAMILIE;;Die Tierschutzpartei;;PBC;;MLPD;;BüSo;;BP;;PSG;;Volksabstimmung;;ZENTRUM;;ADM;;CM;;DKP;;DVU;;DIE VIOLETTEN;;FWD;;ödp;;PIRATEN;;RRP;;RENTNER;;Freie Union
67;22070;19516;34501;33330;6558;9725;36910;37034;3725;5212;;;2461;2318;;;;;;;;;;232;;;;;;;;;;;;;;;;;;449;;;;;;;;2422;;;;;
68;31994;25606;46686;45060;13914;15368;41040;43781;5041;6081;;;3446;3033;;;;;;;;;;331;;;;;;;;;;;;;;;;;;461;;;;;;;;3320;;;;;
69;28732;24320;46632;44402;10236;13274;43952;45676;7791;7141;;;3862;3277;;;;;;;;;;309;;;;;;;;;;;;;;;;;;345;;;;;;;;2897;;;;;
70;32844;28217;46481;42150;9890;13801;48069;48333;8637;10281;;;2618;2275;;;;;;;;;626;410;;;;;;;;;;;;;;;;;;294;;;;;;;;4605;;;;;
71;22187;19739;43424;38247;8810;12614;36809;37709;5004;6131;;;2928;2627;;;;;;;;;544;317;;;;;;;;;;;;;;;;;;428;;;;;;;;3000;;;;;
72;30401;23225;43722;42696;10929;14764;44087;46628;4878;5221;;;3649;3315;;;;;;;;;888;483;;;;;;;;;;;;;;;;;;445;;;;;;;;3066;;;;;
73;22341;21684;42430;37004;11760;15974;46272;43617;11056;11950;;;2483;2234;;;;;;;;;981;511;;;;;;;;;;;;;;;;;;320;;;;;;;;4306;;;;;
74;23592;19513;41281;39777;11224;14153;39610;39876;3950;4740;;;4399;3792;;;;;;;;;;257;;;;;;;;;;;;;;;;;;380;;;;;;;;2541;;;;;
75;23028;21030;43014;39645;10818;14574;47051;46802;5465;4977;;;4337;3713;;;;;;;;;;331;;;;;;;;;;;;;;;;;;407;;;;;;;;2623;;;;;
76;33943;27780;28760;24854;8869;13590;24871;25216;28108;28880;;;2110;1530;;519;;;;1576;;;;107;951;329;;;;116;;;;;;;;;;167;;129;;527;;;;245;;5450;;;;;
77;44769;29850;28374;28163;9604;13626;47070;45099;26674;32401;;;3702;3007;;486;;;;2225;;;;104;1090;457;;;;178;;;;;;;;;;235;;241;;559;;;;351;;6767;;;;;
78;35540;27842;50554;42771;13711;20580;10525;12060;13875;17577;;;2613;2074;;772;;;;1946;;;;30;879;372;;;;76;;;;;;;;;;36;;165;;340;;;;246;;2979;;;;;
79;41051;29109;44994;37170;10612;18277;11446;13611;10853;16451;;;2463;1982;;618;;;;2019;;;285;96;1245;560;;;;87;;;;;;;;;;44;;184;;371;;;;226;;3173;;;;;
80;45691;34488;66075;53085;15138;28876;9325;12270;27392;33004;;;1544;1309;;472;1416;;;1860;;;;34;462;283;;;;79;;;;;;;;;;36;;137;875;623;;;;312;;3739;;;;;
81;47340;31719;44549;39331;16397;24313;9978;12868;26778;32724;;;1187;893;;262;;;;1518;;;;34;912;265;;;;53;;;;;;;;;;45;;88;;465;;;;243;;3564;;;;;
82;38244;36351;54971;45372;13292;23407;13787;16995;44506;36630;;;2413;1891;;545;;;;2270;;;;72;1328;463;;;;86;;;;;;;;;;101;;192;;598;;;;335;;4619;;;;;
83;35168;27639;39618;33469;11468;16486;15852;17986;18805;22698;;;3356;2554;;611;;;;2066;;;218;108;;209;;;;128;;;;;;;;;280;150;;158;;394;;;;261;;4339;;;;;
84;26415;32015;18394;18788;6425;9693;27796;39641;73897;43347;;;1791;1436;;284;;;;1793;;;;130;;166;;;;171;;;;;;;;;649;354;;118;;727;;;;306;;9473;;;;;
85;25520;27765;29124;25955;6247;11261;62880;47438;10495;15486;;;4092;3688;;443;;;;2106;;;398;168;1131;513;;;;132;;;;;;;;;;205;;234;;367;;;;281;;4713;;;;;
86;20336;20906;24563;22875;6969;9741;60236;51662;7242;8847;;;4725;3832;;456;;;;2189;;;;127;1564;579;;;;156;;;;;;;;;;235;;356;;249;;;;189;;4274;;;;;
87;24028;22618;22566;21347;5048;8666;61874;53815;9652;11490;;;4492;3603;;453;;;;1960;;;;101;1384;513;;;;158;;;;;;;;;;286;;273;;272;;;;225;;4972;;;;;
88;38523;28937;50703;41146;11554;19464;9520;10911;17241;20765;;;1088;789;;221;;385;;672;;;;34;;32;;;;9;;87;;62;;;;;;;;54;;;;;;149;;4837;;149;;314;
89;54205;45981;63511;53062;13275;23518;13502;14926;11056;12491;;;2501;1767;;820;;792;;1107;;;;19;;29;;;;18;;125;;70;;;;;;;;114;;;;;;81;;2764;;239;;597;
90;31111;27877;65143;53888;12342;21315;9859;10638;8933;9307;;;1964;1532;;413;;784;;1047;;;;17;;24;;;;20;;145;;69;;;;;;;;73;;;;;;94;;1976;;199;;420;
91;43655;36209;65662;53597;10745;21383;10079;11924;8956;11102;;;2514;2066;;259;;891;;1100;;;;20;;28;;;;19;;201;;72;;;;;;;;74;;;;;;62;;2273;;207;;592;
92;63487;49072;69845;60798;18620;29495;11215;13214;11195;16136;;;2620;1952;;500;;793;;1333;;;;33;;42;;;;29;;236;;80;;;;;;;;98;;;;;;151;;2688;;195;;933;
93;50035;40709;75290;63653;20620;32011;11679;13139;12239;15126;;;2321;1810;;420;;931;;1276;;;;43;;40;;;;24;;209;;103;;;;;;;;146;;;;;;160;;2523;;326;;844;
94;43837;33774;42094;34195;10902;18981;10614;12092;15557;20019;;;1971;1398;;368;;433;;816;;;;70;;25;;;;20;;179;;74;;;;;;;;53;;;;;;146;;2522;;214;;454;
95;55471;37665;59710;48545;18455;32663;9550;12138;26614;34040;;;1131;809;;227;;337;;755;;;281;41;;27;;;;28;;129;;67;;;;;;;;48;;;;;;252;;3237;;207;;341;
96;47625;37019;38093;33367;11187;17225;11390;13540;22550;24797;;;1788;1231;;367;;473;;847;;;;53;;38;;;;26;;153;;58;;;;;;;;57;;;;;;201;;2791;;257;;456;
97;55251;37387;51674;51654;31606;31483;8381;11624;16856;26573;;;1211;1049;;244;;443;;786;;;;40;251;87;;;;26;;137;;87;;;;;;;;52;446;;;;;208;;3685;;74;;280;
98;42568;37986;73959;58516;18727;31488;10523;11650;15389;17359;;;1765;1462;;271;;678;;1113;;;;19;;21;;;;15;1581;741;;100;;;;;;;;93;;;;;;153;;2887;;194;;432;
99;39489;33235;80363;59487;16012;34858;7430;8800;14046;16898;;;1443;1188;;224;;605;;974;;;;27;;15;;;;15;969;452;;96;;;;;;;;69;;;;;;149;;2445;;163;;331;
100;41165;35604;71759;56807;12990;25007;9599;11070;10066;12826;;;1734;1317;;380;;905;;977;;;;16;;36;;;;22;;193;;79;;;;;;;;119;;;;;458;264;;2035;;228;;551;
101;43992;38415;82523;58572;14198;31480;8561;10832;13745;18582;;;1643;1227;;353;;725;;1111;;;;30;;47;;;;18;;197;;87;;;;;;;;94;;;;;;177;;2346;;292;;543;
102;53517;40982;51242;43188;11332;20670;11723;13715;13386;18064;;;2364;1815;;448;;712;;1039;;;323;180;;42;;;;29;;153;;76;;;;;;;;92;;;;;;160;;2578;;292;;620;
103;51180;39244;49021;40972;11852;19458;15003;16743;13308;18285;;;2337;1537;;1098;;629;;1009;;;287;114;;25;;;;27;;169;;56;;;;;;;;78;;;;;;128;;2880;;189;;533;
104;54910;42869;62365;51248;13940;26079;13418;15057;12956;16357;;;2446;1668;;664;;819;;1103;;;;91;;44;;;;26;;193;;102;;;;;;;;139;;;;;;157;;2891;;223;;668;
105;50319;36767;66300;52053;11674;27081;8412;10411;10611;15404;;;1690;1218;;628;;785;;960;;;;32;;48;;;;21;;164;;84;;;;;;;;69;;;;;;123;;2401;;257;;596;
106;43173;32740;48276;40999;11332;20574;8418;9839;8447;11350;;;1503;1061;;467;;596;;756;;;;28;;28;;;;20;;122;;94;;;;;;;;84;;;;;;95;;1955;;199;;422;
107;45125;35625;68749;52747;16472;31626;10266;11962;15894;19967;;;1304;804;;734;;405;;876;;;204;71;;38;;;;28;;114;;90;;;;;;;;47;;;;;;104;;2554;;155;;439;
108;44295;34873;50233;40906;10758;20625;12948;13244;13137;16897;;;1560;900;;1002;;511;;841;;;202;64;;28;;;;23;;119;;89;;;;;;;;63;;;;;;108;;2499;;208;;495;
109;43614;36812;70787;55419;12763;25944;8709;9755;9935;12133;;;2168;1543;;530;;813;;989;;;;30;;22;;;;22;;133;;509;;;;;;;;85;;;;;;107;;2556;;242;;603;
110;33852;30018;55784;43020;11573;22148;9233;10241;10162;10876;;;1569;1231;;301;;526;;906;;;;31;;20;;;;19;;104;;259;;;;;;;;49;;;;;;84;;2191;;196;;526;
111;43087;35551;62639;53252;18168;28625;8641;10016;12043;13867;;;1358;1012;;345;2100;1028;;926;;;;44;;32;;;;20;;121;;285;;;;;;;;60;;;;;;90;;2267;;195;;522;
112;41691;36743;79359;61723;15755;30071;11102;11935;12633;14433;;;1836;1428;;302;;840;;1269;;;;22;;22;;;;25;;133;;106;;;;;;;;78;;;;;;130;;2554;;171;;723;
113;46290;36810;76480;66161;14620;25249;8787;9566;10148;12355;;;;1045;;299;;819;;974;;;;25;;29;;;;15;;115;;90;;;;;;;;95;;;;;;138;;2277;;166;;511;
114;57225;48139;57576;49564;10624;19441;11071;12676;9873;12853;;;1569;1323;;395;1583;923;;969;;;;30;;28;;;;15;;97;;86;;;;;;;;87;;;;;;114;;2335;;187;;446;
115;50636;40990;44906;38812;11098;18168;10123;11438;9462;12727;;;1425;1091;;308;;535;;841;;;270;108;;21;;;;20;;102;;72;;;;;;;;76;;;;;;76;;2078;;187;;539;
116;53363;45956;40001;33638;7501;12709;13237;14678;9791;12118;;;2191;1529;;594;;662;;1038;;;;161;;36;;;;32;;120;;131;;;;;;;;110;;;;;;107;;2305;;217;;551;
117;44436;38305;24779;21808;5189;7872;10519;12940;5430;6582;;;2953;1960;;519;;502;;818;;;275;168;;32;;;;28;;80;;177;;;;;;;;114;;;;;;51;;1503;;175;;453;
118;65189;57689;40001;35712;9231;15049;14008;16311;14772;13352;;;2643;2011;;480;;740;;1109;;;282;118;;43;;;;35;;119;;93;;;;;;;;135;;;;;;106;;2325;;211;;667;
119;57547;49498;44653;37762;11852;18416;12143;13226;10801;13253;;;1940;1458;;538;;698;;1018;;;;139;;60;;;;32;;108;;66;;;;;;;;83;;;;;;97;;2054;;227;;518;
120;49023;41637;28968;25067;6967;10947;11065;12431;7352;9495;;;2218;1619;;979;;565;;874;;;240;141;583;154;;;;31;;118;;74;;;;;;;;62;;;;;;65;;1852;;171;;407;
121;57055;45888;53269;44455;11035;20829;10240;12239;13969;17807;;;1614;1227;;598;;525;;915;;;;91;508;148;;;;39;;142;;78;;;;;;;;75;;;;;;109;;2341;;173;;404;
122;52627;43571;37504;34732;9090;13462;12781;14202;7846;9984;;;2078;1470;;410;;599;;852;;;;80;;30;;;;17;;102;;56;;;;;;;;182;;;;;;82;;2162;;202;;463;
123;58984;51110;44021;40418;10678;15219;13805;14614;8603;10299;;;2269;1554;;483;;694;;1010;;;191;96;;28;;;;29;;134;;64;;;;;;;;135;;;;;;83;;2285;;211;;467;
124;64623;50435;31011;27930;8344;10846;;14497;9013;8327;;;4199;2018;;1094;;573;;818;;;1831;454;;33;;;;21;;112;;67;;;;;;;;108;;;;;;52;;2148;;158;;510;
125;42736;34893;63123;59231;17533;22277;8306;9197;8774;10999;;;1226;993;;201;;647;;568;;;;16;;20;;;;20;;67;;128;;;;;;;;62;;;;;;113;;2249;;227;;358;
126;62810;54532;48290;42153;9710;16171;13765;15624;8372;10267;;;2391;1738;;643;;804;;1052;;;243;128;;34;;;;23;;102;;74;;;;;;;;114;;;;;1138;447;;2261;;182;;578;
127;37324;32344;79254;67056;12521;24230;6385;7222;9706;10793;;;1044;805;;188;;625;;599;;;;17;;12;;;;13;;73;;103;;;;;;;;56;;;;;;94;;1823;;100;;344;
128;37851;31790;73636;61901;14229;24041;7634;8504;10674;13607;;;973;752;;213;;703;;705;;;;13;;16;;;;20;;80;;93;;;;;;;;67;;;;;;163;;2008;;169;;424;
129;58679;43523;61444;51067;11613;20001;9075;9250;;13366;;;1129;929;;204;;686;;555;;;;14;;24;;;;15;;56;;63;;;;;;;;71;;;;;;85;;2047;;169;;286;
130;53029;38604;63819;54902;16131;23951;7805;10970;20822;27985;;;718;574;;175;;416;;567;;;;39;;17;;;;19;;89;;78;;;;;;;;38;;;;;;417;;3489;;107;;294;
131;49996;37608;75187;62706;16333;23668;12005;9824;;14609;;;;977;;302;;685;;688;;;;8;;14;;;;16;;112;;107;;;;;;;;82;;;;;;119;;2308;;132;;443;
132;53509;42512;74149;64808;15138;24698;9909;10855;11924;16035;;;;1202;;361;;824;;855;;;;25;;24;;;;24;;152;;86;;;;;;;;118;;;;;625;379;;2639;;177;;546;
133;61405;53583;64621;54277;10852;19883;14056;17126;24981;25057;;;1784;1453;;311;;755;;956;;;;68;394;100;;;;45;;132;;67;;;;;;;;120;;;;;;179;;3497;;190;;551;
134;62644;53661;61244;53025;15549;22018;12090;12887;11091;14121;;;;1362;;603;;856;;942;;;;31;;26;;;;23;;189;;56;;;;;;;;90;;;;;;137;;2373;;215;;421;
135;57561;47299;61751;51869;9628;18097;8809;10401;7636;11482;;;;917;;771;;820;;713;;;;21;;22;;;;29;;98;;56;;;;;;;;83;;;;;;113;;2284;;153;;397;
136;50688;43628;46447;40545;11879;16627;8492;9059;8431;10270;;;;1039;;358;;779;;728;;;;23;;36;;;;10;;95;;66;;;;;;;;94;;;;;;119;;2283;;139;;397;
137;49149;45184;71813;58814;12086;23125;9100;10266;9957;11708;;;1502;1151;;254;1586;1037;;727;;;;21;;21;;;;31;;125;;91;;;;;;;;109;;;;;455;309;;2474;;132;;374;
138;43120;34925;88754;73354;15282;28805;9436;10380;12001;14619;;;1757;1340;;377;;1111;;810;;;;24;;26;;;;28;;149;;113;;;;;;;;116;;;;;;184;;3478;;145;;467;
139;63980;49061;49893;45225;11251;18246;12188;14448;8836;13557;;;2679;1774;;937;;673;;1231;;;;87;;36;;;;12;;137;;72;;;;;;;;96;;;;;;79;;2407;;278;;706;
140;54845;46848;40763;35927;13392;16778;11180;12596;11621;15248;;;1762;1382;;307;;673;;1103;;;285;153;;29;;;;42;;126;;61;;;;;;;;108;;;;;;116;;2180;;194;;559;
141;65810;55224;47030;37763;8578;16390;14741;16442;12775;18094;;;2268;1796;;360;;608;;1171;;;259;126;486;100;;;;49;;126;;57;;;;;;;;101;;;;;;119;;2943;;214;;538;
142;64331;50922;33693;28681;8545;11591;;16261;12393;11074;;;2570;1563;2768;1418;;604;;944;;;1175;175;;20;;;;34;;93;;60;;;;;;;;164;;;;;;81;;2074;;236;;568;
143;60839;48882;40623;36237;12890;17813;14273;16272;16141;20133;;;2281;1469;;231;;521;;960;;;288;146;440;103;;;;22;;128;;63;;;;;;;;838;;;;;;105;;3311;;201;;638;
144;59141;49813;40622;34006;9387;15993;14819;16104;12292;15553;;;2379;1654;;263;;677;;1000;;;;101;;42;;;;25;;149;;53;;;;;;;;663;;;;;;70;;2383;;275;;931;
145;62638;55439;47702;38646;9418;17773;12451;13842;12737;13756;;;2206;1665;;307;;727;;1045;;;;44;;24;;;;18;;144;;52;;;;;;;;207;;;;;;88;;2439;;183;;958;
146;72446;55249;54088;52623;14952;19998;11638;15917;8993;12798;;;2981;2113;;536;;810;;1049;;;;60;;26;;;;26;;120;;66;;;;;;;;206;;;;;;88;;2889;;241;;675;
